col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101,col102,col103,col104,col105,col106,col107,col108,col109,col110,col111,col112,col113,col114,col115,col116,col117,col118,col119,col120,col121,col122,col123,col124,col125,col126,col127,col128,col129,col130,col131,col132,col133,col134,col135,col136,col137,col138,col139,col140,col141,col142,col143,col144,col145,col146,SOM_id
5,10,8,3,7,0,1,2,3,1,6,9,45,31,36,27,6,3,2,5,4,3,6,5,4,1,7,1,0,2,3,2,2,0,1,1,0,2,3,1,3,1,1,1,1,4,8,5,2,1,2,3,0,5,6,4,2,6,3,1,0,0,5,6,2,3,7,3,7,2,2,3,0,2,0,0,1,0,2,0,1,0,1,3,1,3,0,5,0,2,2,5,1,2,3,2,1,0,2,3,5,3,5,4,0,3,1,3,2,4,3,2,3,2,2,1,3,3,2,8,1,1,8,4,2,1,0,1,4,0,1,1,2,1,1,2,0,1,2,4,1,2,0,3,4,4,2
3,6,4,4,1,6,4,9,5,7,6,8,41,28,42,31,10,9,7,2,12,11,3,3,3,3,8,0,0,6,16,9,8,3,4,3,1,4,6,5,10,3,14,6,5,6,1,3,4,5,11,8,19,3,2,3,3,9,1,3,2,5,4,1,1,6,6,17,10,1,6,0,4,10,9,2,5,7,3,1,1,4,11,4,6,3,4,1,1,3,5,4,2,6,3,1,4,2,1,3,2,4,2,10,21,6,5,1,4,2,1,4,3,3,1,0,2,4,1,3,1,3,2,3,0,3,1,1,3,1,3,0,2,3,1,2,0,1,6,11,2,1,1,2,0,3,2
0,0,1,0,1,0,0,0,0,2,6,5,39,28,37,30,5,7,2,1,7,1,1,2,3,4,4,0,0,0,2,2,2,3,4,0,2,5,0,1,3,0,2,1,1,2,0,0,1,1,2,0,3,0,4,3,3,0,0,2,2,2,1,1,5,3,4,1,2,1,3,0,0,1,2,2,1,1,4,5,4,0,2,2,3,0,0,1,1,0,1,2,1,0,0,0,0,0,0,1,0,3,0,2,0,1,0,0,1,0,4,0,1,0,0,1,1,1,2,2,0,1,3,6,2,1,0,0,1,1,0,0,0,1,0,0,0,2,3,4,2,0,0,2,1,3,2
0,5,2,4,2,0,4,1,4,4,7,4,38,27,39,32,22,7,11,6,17,2,9,9,4,26,6,3,2,1,6,3,2,1,3,1,2,4,4,5,8,9,8,11,2,5,7,2,6,7,7,4,6,6,4,12,19,15,1,6,3,8,3,4,6,4,5,9,9,5,2,2,1,4,4,4,0,2,4,1,3,2,1,4,3,4,2,1,4,3,1,7,3,2,3,1,5,0,0,5,0,6,3,4,4,2,1,1,3,0,1,6,4,0,5,0,3,2,6,0,5,1,1,0,0,2,2,0,3,3,1,1,1,2,4,0,0,1,1,2,4,0,1,5,1,1,2
2,0,4,3,0,0,1,0,0,1,1,4,39,29,36,28,1,3,4,0,13,1,5,1,2,5,2,1,0,0,0,0,1,0,2,0,4,3,3,1,1,4,3,2,0,4,0,5,4,2,1,1,1,0,2,1,1,1,1,1,0,0,0,1,2,1,0,2,3,2,0,2,0,0,2,1,0,2,1,1,0,0,0,0,2,4,3,0,0,3,1,0,1,1,2,0,0,0,0,3,0,0,2,4,2,1,1,2,0,0,0,1,0,0,1,1,3,1,1,0,1,1,1,1,1,1,0,2,1,1,0,0,3,0,1,1,0,1,0,0,0,1,1,0,0,1,2
0,3,2,3,0,0,1,2,1,2,3,4,38,27,36,26,8,6,4,0,9,0,5,2,5,1,3,2,0,0,2,0,1,0,0,2,2,1,4,1,2,3,2,0,1,1,7,3,1,3,6,0,2,4,5,3,2,2,0,4,2,0,0,0,1,3,1,4,4,2,0,0,1,2,2,0,1,0,1,0,0,1,0,2,1,4,2,1,0,0,0,3,1,1,3,1,1,1,0,3,0,1,3,0,2,1,0,3,0,1,1,0,3,1,1,0,1,1,0,2,2,2,4,1,0,0,0,0,3,0,0,0,0,1,2,0,0,1,1,7,2,5,1,4,0,0,2
1,2,2,3,0,0,1,1,0,2,3,9,42,30,39,26,7,2,1,1,0,3,1,1,3,4,1,2,1,2,2,3,1,1,1,0,2,3,3,1,3,3,3,2,5,1,1,1,0,5,3,4,2,3,6,4,2,2,0,1,0,1,1,0,1,5,3,2,1,2,2,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,3,1,0,0,0,0,0,1,0,0,2,2,0,0,3,0,2,4,2,0,0,0,0,1,4,2,3,1,0,2,2,0,2,0,1,0,1,1,0,0,1,0,1,0,0,3,3,0,3,1,0,2,0,1,2
1,5,2,2,0,1,0,0,2,0,2,4,38,30,36,27,1,2,1,0,1,5,3,2,4,1,0,1,0,0,0,1,0,0,0,0,0,2,1,0,2,0,3,1,3,7,3,3,0,1,2,0,2,4,5,4,2,2,1,1,1,0,5,5,3,5,4,2,4,3,3,0,0,1,0,0,1,0,1,0,0,0,0,2,0,5,1,0,0,0,0,5,4,1,1,0,1,1,0,1,3,2,1,3,0,1,2,1,1,2,5,0,2,1,0,0,2,0,0,2,1,2,7,0,0,1,0,0,0,0,0,0,2,0,0,0,1,3,0,1,2,0,0,3,0,1,2
2,0,3,2,3,6,1,1,2,3,2,6,41,29,39,31,1,0,2,3,11,4,1,3,2,7,8,7,2,6,2,0,3,1,1,1,2,1,3,4,1,0,3,1,2,3,1,3,0,1,2,2,5,5,7,3,2,2,1,2,2,3,5,0,0,3,5,0,4,3,0,2,4,6,1,5,2,0,2,3,6,3,1,3,2,0,0,1,1,0,4,1,1,3,3,3,1,0,1,1,2,2,4,1,3,6,2,1,1,2,2,2,2,1,2,3,6,2,3,1,2,1,1,0,4,0,1,0,2,3,0,4,1,1,1,3,0,5,5,1,2,1,2,3,0,4,2
1,1,0,3,2,1,1,0,3,1,1,8,38,29,39,29,3,4,2,1,14,2,8,1,0,9,3,3,3,4,2,2,0,2,0,1,1,0,3,5,2,1,4,2,2,5,0,6,1,1,2,1,4,2,0,5,1,1,1,0,1,1,0,0,0,1,0,1,2,2,0,0,1,1,1,1,0,0,1,0,1,2,0,1,1,4,2,0,1,0,0,1,0,5,2,1,1,0,2,7,3,1,4,2,1,3,2,3,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,2,0,1,0,2,0,2,3,2,1,1,0,2,0,1,0,0,1,2,0,0,2
0,1,0,0,0,0,1,0,0,2,1,6,37,30,35,28,1,3,5,0,6,3,1,1,0,3,0,0,0,2,3,3,2,0,0,0,1,1,0,2,1,2,0,1,2,3,4,3,0,2,4,0,1,3,5,4,2,2,1,3,0,0,2,8,1,4,3,2,6,2,2,0,2,1,0,0,0,0,1,0,1,0,1,3,1,4,1,4,1,0,0,1,2,2,1,1,5,0,2,4,4,2,6,0,2,3,0,0,1,2,1,1,1,0,0,1,1,3,1,1,0,0,2,0,2,0,0,1,4,1,0,1,1,1,2,1,0,2,2,0,0,0,0,3,1,3,2
1,1,2,3,4,3,4,2,3,2,5,5,40,34,42,29,15,20,10,9,15,4,13,5,7,9,5,1,6,2,0,5,2,10,17,7,3,3,13,6,2,8,15,8,4,7,6,6,5,4,2,3,5,3,2,6,2,2,3,6,6,10,23,4,7,7,7,7,4,1,6,4,3,2,4,0,14,2,10,7,2,2,3,3,4,1,2,3,8,4,3,6,1,3,5,4,8,3,1,1,4,1,0,1,1,3,1,6,2,3,2,1,2,2,2,4,2,4,5,2,1,1,10,12,4,0,2,2,0,0,0,0,1,1,2,1,1,3,3,1,9,10,6,6,1,0,2
0,2,0,0,1,2,0,0,2,3,0,5,41,28,39,26,2,0,2,2,2,0,0,1,1,0,0,2,3,0,1,1,1,1,1,0,3,1,2,1,2,3,4,0,2,2,0,0,0,0,0,0,2,0,1,8,1,6,4,2,3,6,9,6,7,7,7,6,9,6,2,1,2,2,2,0,1,0,3,1,4,1,1,2,1,0,2,0,0,0,0,3,0,0,0,1,2,1,0,1,0,1,0,0,0,0,0,1,1,2,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2
0,1,3,1,0,1,3,0,2,7,0,10,45,32,45,29,14,9,3,4,11,10,45,17,8,9,2,8,7,4,2,3,2,6,5,4,4,9,3,1,1,9,5,5,5,3,6,1,1,0,0,2,2,2,0,8,0,3,6,0,0,0,4,5,6,7,5,7,7,3,6,4,8,1,2,5,16,4,14,4,8,4,4,8,4,5,2,1,7,6,2,5,4,0,0,3,7,3,1,3,0,4,0,0,0,0,1,3,1,1,2,0,3,1,1,2,4,0,3,4,1,3,0,1,1,1,1,2,1,2,4,3,2,1,2,0,0,3,4,1,4,3,1,3,0,0,2
1,4,1,3,0,3,2,3,5,14,2,3,4,3,25,6,2,0,2,0,5,3,3,2,1,5,2,1,0,1,0,5,2,2,1,2,2,1,0,1,3,3,9,6,0,1,1,4,0,1,7,15,9,9,22,8,8,0,0,0,0,0,1,1,5,4,4,1,2,0,2,2,5,1,1,0,1,0,0,3,1,0,0,0,1,1,2,0,1,0,0,2,6,1,1,2,0,0,0,0,2,0,1,2,1,1,0,0,0,0,1,0,0,0,2,1,5,2,4,2,0,4,1,1,4,0,0,0,0,0,1,0,0,0,1,1,0,3,2,0,0,0,0,2,0,2,3
1,4,1,6,17,3,4,5,6,0,1,2,9,12,16,5,4,0,0,2,9,8,10,1,2,2,2,3,0,1,1,1,12,6,2,5,0,2,3,1,2,2,6,9,3,13,10,1,5,3,4,3,2,5,4,4,2,1,1,1,0,2,2,2,5,4,3,3,8,3,0,2,1,3,0,3,0,2,3,2,4,0,1,1,1,0,1,0,1,3,3,5,8,6,6,2,4,5,4,5,7,1,2,1,2,0,1,6,0,1,2,1,1,0,0,0,3,2,5,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,3,1,2,1,1,0,0,2,2,3
2,4,7,10,12,4,8,4,5,2,4,5,8,16,15,6,2,5,1,2,7,6,3,2,2,1,2,5,3,4,4,1,10,3,4,0,2,1,4,2,3,2,7,8,5,17,10,10,5,5,3,9,1,8,7,7,5,1,2,1,0,3,2,1,5,3,4,2,6,3,0,2,4,4,0,1,1,4,13,4,2,1,3,2,2,0,2,1,1,2,2,4,16,10,4,7,2,3,5,4,7,2,2,4,0,0,1,2,0,0,3,1,1,0,0,2,4,2,1,1,1,1,0,2,1,1,0,0,0,2,1,1,0,0,0,0,2,3,1,1,1,2,0,1,1,2,3
1,2,4,9,23,6,4,6,0,1,3,2,1,4,5,3,1,3,0,1,4,3,2,1,0,1,0,0,0,1,3,1,9,7,5,1,0,3,0,0,2,3,4,10,5,20,9,14,9,17,16,13,6,20,12,10,6,10,1,1,2,0,4,2,1,3,3,2,3,3,0,1,1,2,1,0,0,3,1,1,2,1,0,0,1,0,0,0,1,3,2,9,29,13,2,3,1,8,12,7,3,3,3,3,2,1,0,3,1,0,2,1,1,1,0,0,2,1,4,1,1,0,0,2,0,1,0,0,0,2,0,3,0,0,0,1,0,0,1,1,0,1,0,0,2,1,3
1,2,4,12,21,5,5,10,3,3,5,2,12,25,18,6,5,1,2,4,7,4,4,3,2,2,2,5,2,1,2,2,5,7,1,1,0,1,2,1,3,0,6,5,3,9,6,11,4,2,5,3,2,0,3,2,1,0,0,0,1,2,4,1,5,5,1,2,5,1,0,1,1,3,0,1,0,2,13,7,4,2,1,1,2,0,1,1,1,2,2,5,8,2,1,1,4,5,8,7,2,0,2,2,3,0,0,3,2,1,2,1,1,0,1,2,2,0,5,1,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,1,0,0,0,2,2,3
0,3,1,5,4,5,4,5,2,2,2,3,3,7,11,6,3,2,0,3,3,8,6,3,0,1,1,3,3,2,2,3,6,4,3,5,1,2,1,1,3,1,1,2,2,2,8,13,7,14,12,13,7,18,8,10,3,11,2,0,2,1,3,1,4,3,4,1,7,2,0,0,2,1,0,1,0,2,2,5,3,2,0,1,1,0,1,0,1,1,2,1,6,0,0,1,6,4,1,3,2,0,2,1,2,0,1,3,0,0,0,0,1,1,0,0,2,1,1,0,1,2,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,2,0,3
3,4,1,5,3,1,3,0,3,1,3,2,6,9,7,4,5,2,2,4,6,3,7,1,1,0,2,2,0,3,1,1,4,1,0,2,0,2,2,0,1,0,4,9,1,26,3,1,7,13,10,12,6,19,8,10,2,10,0,0,0,4,4,2,1,1,0,0,4,2,0,1,1,2,0,1,1,2,4,1,1,1,0,2,1,0,0,0,1,0,2,4,15,18,4,1,3,5,2,0,1,1,0,2,1,1,0,2,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,1,2,1,0,0,0,2,1,0,1,1,0,1,0,1,0,3
0,3,1,1,0,0,2,0,6,6,0,5,7,2,17,5,1,3,2,0,17,1,7,5,1,9,6,4,0,0,2,0,1,3,3,1,3,1,5,4,5,3,9,6,1,6,8,5,2,10,9,15,6,9,16,9,2,1,1,4,7,16,16,7,17,16,15,7,10,6,2,5,1,1,3,5,5,3,4,4,2,1,1,1,1,1,2,3,1,3,1,5,6,1,3,0,1,4,0,2,1,0,0,0,3,0,1,1,0,0,0,2,0,0,0,4,2,2,6,3,2,4,0,0,4,1,3,1,3,0,4,2,0,3,0,1,3,2,6,6,3,2,3,1,0,1,4
1,2,1,1,1,1,0,0,2,3,0,2,2,1,2,0,0,0,1,0,3,1,3,1,4,7,2,3,0,1,0,2,0,0,1,2,1,0,2,3,0,1,2,7,1,3,3,7,3,14,10,8,14,13,5,10,4,6,0,6,5,15,34,15,24,19,25,14,13,11,2,4,3,0,2,0,4,1,1,4,1,1,0,2,1,5,1,0,1,3,2,6,2,1,2,2,3,3,0,1,0,0,0,0,2,2,2,0,0,0,1,3,1,1,0,1,2,3,4,2,1,5,1,1,0,3,0,1,1,0,2,2,2,0,1,0,0,0,1,0,3,2,1,3,0,2,4
0,0,1,0,1,0,0,0,1,4,1,2,0,3,3,0,2,1,2,1,1,1,6,1,5,13,7,3,1,0,1,4,0,0,0,1,0,0,7,0,2,0,2,5,0,4,2,7,1,2,1,8,7,13,7,33,4,2,1,2,0,11,6,3,10,11,23,8,9,9,2,1,1,0,2,2,2,0,0,2,2,1,0,3,1,1,1,0,0,0,0,3,4,0,2,2,0,1,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,2,0,0,0,1,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,4
1,3,0,0,1,1,3,0,3,7,2,2,6,4,8,0,1,3,2,2,9,2,6,4,5,20,9,8,0,1,1,6,0,1,3,3,7,1,8,2,0,3,8,7,1,5,3,8,1,1,3,11,8,20,15,35,16,13,3,3,3,14,23,7,23,22,13,10,9,11,3,5,7,2,3,1,3,1,0,5,2,1,2,4,0,7,2,1,0,1,0,4,5,0,2,2,2,2,0,1,2,1,1,1,2,2,3,0,1,0,0,0,0,1,0,4,4,4,6,3,2,3,1,0,0,2,4,1,3,1,5,2,4,0,0,4,0,3,7,2,1,4,1,1,0,3,4
0,0,1,1,1,0,0,2,2,0,1,0,1,4,0,1,1,0,0,1,6,3,0,1,0,1,0,1,0,0,0,2,1,3,31,19,21,1,43,8,5,11,12,1,8,16,0,14,5,2,3,4,1,1,0,3,0,1,0,6,27,48,2,1,3,2,5,5,0,4,0,1,0,0,1,0,0,2,0,0,0,0,0,0,3,0,1,1,0,2,1,4,2,2,9,2,0,0,0,1,0,0,0,1,0,0,1,0,1,0,2,2,0,0,1,2,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,4
0,2,3,4,0,0,0,0,2,0,0,7,3,3,4,6,0,2,0,0,2,1,3,1,0,6,1,0,0,4,0,0,1,3,11,2,11,2,34,2,3,3,4,4,3,4,2,3,5,3,1,5,10,7,10,9,5,6,3,4,3,7,11,6,1,6,9,7,7,6,4,1,0,3,1,1,0,1,2,1,0,2,0,0,2,4,1,0,1,1,0,2,0,1,1,0,1,0,0,3,0,1,1,4,0,0,1,0,1,3,5,2,1,2,1,2,5,2,4,0,1,1,2,0,1,0,1,0,1,0,0,0,1,1,1,5,0,0,0,1,0,1,0,2,0,1,4
0,4,4,2,4,0,3,9,5,4,8,3,2,3,7,11,9,15,1,7,7,4,5,0,10,3,8,3,5,5,7,2,4,3,3,1,4,9,6,4,5,4,7,6,4,4,11,3,8,35,38,4,6,7,5,8,20,12,1,2,10,7,2,3,4,10,3,4,9,3,1,2,3,8,4,0,2,2,1,2,3,2,6,0,2,2,2,2,2,4,1,0,1,2,4,4,2,3,2,1,1,2,1,3,3,2,1,3,0,1,4,0,1,1,0,2,1,4,2,2,1,0,2,0,1,0,1,3,1,0,0,1,1,0,1,2,0,1,1,2,0,0,1,0,1,3,5
0,8,1,6,5,2,10,8,6,5,13,6,5,7,7,4,16,15,8,6,9,2,8,9,9,2,3,1,3,6,9,2,3,7,6,4,4,5,3,4,7,4,4,2,2,5,5,2,7,19,14,8,12,10,8,2,4,3,2,5,5,3,3,1,0,3,4,8,4,3,2,0,5,4,3,2,2,2,5,2,4,1,4,2,5,1,3,1,2,1,1,2,2,3,0,3,1,4,3,1,2,0,1,3,3,4,1,2,3,4,4,5,3,1,0,4,3,2,3,1,3,0,1,1,1,3,0,4,1,1,0,2,0,3,5,2,2,1,1,2,1,1,0,0,0,1,5
1,0,2,3,5,0,3,6,7,1,7,0,3,3,1,3,10,5,3,2,5,3,5,5,3,1,8,5,5,4,8,6,4,5,1,2,1,3,7,1,7,3,2,5,3,3,9,3,5,26,25,5,9,10,5,7,6,2,1,1,3,0,1,3,0,1,4,2,3,3,1,0,2,1,0,1,0,1,1,1,5,0,1,1,2,0,0,3,0,0,2,5,2,2,1,1,2,0,1,0,1,0,0,3,3,0,0,2,0,0,2,1,3,1,0,0,0,4,0,3,1,0,0,0,1,2,1,6,0,1,0,1,3,0,1,1,0,1,2,1,1,1,0,1,2,2,5
0,0,0,1,1,1,2,0,3,1,1,2,11,4,3,5,2,8,5,3,5,4,3,0,2,2,4,1,4,5,8,2,0,2,3,0,1,1,0,2,2,3,1,7,4,3,1,4,3,18,13,9,16,14,4,5,7,2,0,3,1,2,8,8,3,5,5,9,1,7,2,3,3,1,1,1,2,1,8,0,6,5,1,1,1,7,1,2,1,2,1,5,1,2,1,1,3,2,2,3,1,0,0,2,6,2,6,5,4,0,0,3,0,1,1,2,7,0,4,3,0,2,1,1,1,3,2,0,3,2,2,4,3,2,3,0,0,1,3,0,5,2,1,4,0,4,5
0,5,12,4,3,2,2,1,2,0,0,1,3,2,1,5,8,7,6,13,7,2,3,0,0,1,1,4,2,0,0,4,1,5,0,0,6,5,0,1,2,1,4,4,4,2,2,1,4,0,1,5,2,4,3,1,3,1,3,2,1,1,2,2,2,2,3,1,0,4,7,4,4,3,7,1,0,3,1,6,3,0,5,1,6,7,1,0,1,1,0,3,0,2,1,1,2,4,3,5,3,6,1,0,1,1,2,4,4,4,0,5,0,5,3,0,2,0,5,2,2,3,1,4,0,3,0,0,1,0,1,3,4,1,3,1,1,3,1,2,1,2,0,0,0,2,6
2,2,1,6,3,3,1,7,3,3,3,4,3,5,3,3,10,8,4,1,4,1,3,8,5,9,4,2,5,7,4,5,1,5,0,1,4,4,1,2,3,3,5,11,5,1,3,5,3,5,4,2,5,5,3,3,4,5,5,2,4,3,3,3,4,3,3,1,7,11,2,5,2,8,5,0,2,1,1,6,6,3,3,3,2,6,2,1,1,1,4,2,0,3,8,3,2,1,0,0,5,6,4,5,1,0,3,5,2,2,2,2,3,0,2,2,3,2,5,4,2,0,0,3,1,4,1,0,2,2,4,3,0,1,1,1,1,3,1,1,1,5,0,2,0,3,6
0,1,7,3,1,2,2,2,0,0,3,0,1,6,1,1,5,9,3,2,1,0,2,3,4,4,5,1,5,6,4,1,1,4,1,2,2,2,0,0,3,4,2,4,2,2,3,2,4,2,2,2,4,2,2,2,1,3,5,2,4,0,2,0,2,4,1,5,5,0,1,1,3,6,2,2,1,1,6,3,3,2,5,4,3,7,2,2,2,0,0,1,1,2,7,1,0,2,0,2,1,5,3,6,2,1,0,3,2,1,1,2,2,4,1,2,2,1,2,0,1,0,0,1,1,2,1,0,2,2,3,4,0,0,2,1,1,0,2,1,3,0,1,1,0,2,6
